1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 2200000032483721
Is Mission Active?  true
Mission Start:  Tue Jun 17 13:02:00 CDT 2014
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  1668
Total Samples:  3420
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/17/14 1:02:00 PM,C,23.5
6/17/14 3:02:00 PM,C,23
6/17/14 5:02:00 PM,C,22.5
6/17/14 7:02:00 PM,C,22.5
6/17/14 9:02:00 PM,C,22.5
6/17/14 11:02:00 PM,C,22.5
6/18/14 1:02:00 AM,C,22.5
6/18/14 3:02:00 AM,C,22
6/18/14 5:02:00 AM,C,22
6/18/14 7:02:00 AM,C,22
6/18/14 9:02:00 AM,C,22
6/18/14 11:02:00 AM,C,22.5
6/18/14 1:02:00 PM,C,22.5
6/18/14 3:02:00 PM,C,22.5
6/18/14 5:02:00 PM,C,22.5
6/18/14 7:02:00 PM,C,22.5
6/18/14 9:02:00 PM,C,22.5
6/18/14 11:02:00 PM,C,22.5
6/19/14 1:02:00 AM,C,22.5
6/19/14 3:02:00 AM,C,22
6/19/14 5:02:00 AM,C,22
6/19/14 7:02:00 AM,C,22
6/19/14 9:02:00 AM,C,22
6/19/14 11:02:00 AM,C,22.5
6/19/14 1:02:00 PM,C,22.5
6/19/14 3:02:00 PM,C,22
6/19/14 5:02:00 PM,C,22
6/19/14 7:02:00 PM,C,22
6/19/14 9:02:00 PM,C,22
6/19/14 11:02:00 PM,C,22
6/20/14 1:02:00 AM,C,22
6/20/14 3:02:00 AM,C,22
6/20/14 5:02:00 AM,C,22
6/20/14 7:02:00 AM,C,22
6/20/14 9:02:00 AM,C,22
6/20/14 11:02:00 AM,C,22
6/20/14 1:02:00 PM,C,22
6/20/14 3:02:00 PM,C,22
6/20/14 5:02:00 PM,C,22
6/20/14 7:02:00 PM,C,22.5
6/20/14 9:02:00 PM,C,22.5
6/20/14 11:02:00 PM,C,22.5
6/21/14 1:02:00 AM,C,22.5
6/21/14 3:02:00 AM,C,22.5
6/21/14 5:02:00 AM,C,22
6/21/14 7:02:00 AM,C,22
6/21/14 9:02:00 AM,C,22
6/21/14 11:02:00 AM,C,22
6/21/14 1:02:00 PM,C,22
6/21/14 3:02:00 PM,C,22.5
6/21/14 5:02:00 PM,C,22.5
6/21/14 7:02:00 PM,C,22.5
6/21/14 9:02:00 PM,C,22.5
6/21/14 11:02:00 PM,C,22.5
6/22/14 1:02:00 AM,C,22.5
6/22/14 3:02:00 AM,C,22.5
6/22/14 5:02:00 AM,C,22.5
6/22/14 7:02:00 AM,C,22
6/22/14 9:02:00 AM,C,22
6/22/14 11:02:00 AM,C,22.5
6/22/14 1:02:00 PM,C,22.5
6/22/14 3:02:00 PM,C,22.5
6/22/14 5:02:00 PM,C,22.5
6/22/14 7:02:00 PM,C,22.5
6/22/14 9:02:00 PM,C,22.5
6/22/14 11:02:00 PM,C,22.5
6/23/14 1:02:00 AM,C,22.5
6/23/14 3:02:00 AM,C,22
6/23/14 5:02:00 AM,C,22
6/23/14 7:02:00 AM,C,22
6/23/14 9:02:00 AM,C,22
6/23/14 11:02:00 AM,C,22
6/23/14 1:02:00 PM,C,22
6/23/14 3:02:00 PM,C,22
6/23/14 5:02:00 PM,C,22
6/23/14 7:02:00 PM,C,22
6/23/14 9:02:00 PM,C,22
6/23/14 11:02:00 PM,C,22
6/24/14 1:02:00 AM,C,22
6/24/14 3:02:00 AM,C,22
6/24/14 5:02:00 AM,C,22
6/24/14 7:02:00 AM,C,22
6/24/14 9:02:00 AM,C,22
6/24/14 11:02:00 AM,C,22
6/24/14 1:02:00 PM,C,22
6/24/14 3:02:00 PM,C,22
6/24/14 5:02:00 PM,C,22
