1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0200000032505F21
Is Mission Active?  true
Mission Start:  Wed Jan 22 15:45:00 CST 2014
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  3418
Total Samples:  3418
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
5/16/14 8:45:00 PM,C,19
5/16/14 10:45:00 PM,C,19.5
5/17/14 12:45:00 AM,C,20
5/17/14 2:45:00 AM,C,20
5/17/14 4:45:00 AM,C,19.5
5/17/14 6:45:00 AM,C,19.5
5/17/14 8:45:00 AM,C,19.5
5/17/14 10:45:00 AM,C,19.5
5/17/14 12:45:00 PM,C,19.5
5/17/14 2:45:00 PM,C,19.5
5/17/14 4:45:00 PM,C,19.5
5/17/14 6:45:00 PM,C,19.5
5/17/14 8:45:00 PM,C,20
5/17/14 10:45:00 PM,C,20.5
5/18/14 12:45:00 AM,C,20.5
5/18/14 2:45:00 AM,C,20.5
5/18/14 4:45:00 AM,C,20.5
5/18/14 6:45:00 AM,C,20.5
5/18/14 8:45:00 AM,C,20.5
5/18/14 10:45:00 AM,C,20
5/18/14 12:45:00 PM,C,20
5/18/14 2:45:00 PM,C,20
5/18/14 4:45:00 PM,C,20
5/18/14 6:45:00 PM,C,20
5/18/14 8:45:00 PM,C,20.5
5/18/14 10:45:00 PM,C,21
5/19/14 12:45:00 AM,C,21
5/19/14 2:45:00 AM,C,21.5
5/19/14 4:45:00 AM,C,21.5
5/19/14 6:45:00 AM,C,21.5
5/19/14 8:45:00 AM,C,22
5/19/14 10:45:00 AM,C,22
5/19/14 12:45:00 PM,C,22
5/19/14 2:45:00 PM,C,22
5/19/14 4:45:00 PM,C,22
5/19/14 6:45:00 PM,C,22.5
5/19/14 8:45:00 PM,C,23
5/19/14 10:45:00 PM,C,23.5
5/20/14 12:45:00 AM,C,24
5/20/14 2:45:00 AM,C,24
5/20/14 4:45:00 AM,C,24.5
5/20/14 6:45:00 AM,C,24.5
5/20/14 8:45:00 AM,C,24.5
5/20/14 10:45:00 AM,C,24.5
5/20/14 12:45:00 PM,C,24.5
5/20/14 2:45:00 PM,C,24.5
5/20/14 4:45:00 PM,C,25
5/20/14 6:45:00 PM,C,25
5/20/14 8:45:00 PM,C,25.5
5/20/14 10:45:00 PM,C,25.5
5/21/14 12:45:00 AM,C,25
5/21/14 2:45:00 AM,C,25
5/21/14 4:45:00 AM,C,25
5/21/14 6:45:00 AM,C,25
5/21/14 8:45:00 AM,C,25
5/21/14 10:45:00 AM,C,25
5/21/14 12:45:00 PM,C,25
5/21/14 2:45:00 PM,C,25.5
5/21/14 4:45:00 PM,C,25.5
5/21/14 6:45:00 PM,C,25.5
5/21/14 8:45:00 PM,C,26
5/21/14 10:45:00 PM,C,25.5
5/22/14 12:45:00 AM,C,25.5
5/22/14 2:45:00 AM,C,25.5
5/22/14 4:45:00 AM,C,25.5
5/22/14 6:45:00 AM,C,25.5
5/22/14 8:45:00 AM,C,25
5/22/14 10:45:00 AM,C,25
5/22/14 12:45:00 PM,C,25
5/22/14 2:45:00 PM,C,25
5/22/14 4:45:00 PM,C,25.5
5/22/14 6:45:00 PM,C,25
5/22/14 8:45:00 PM,C,25
5/22/14 10:45:00 PM,C,25
5/23/14 12:45:00 AM,C,24.5
5/23/14 2:45:00 AM,C,24.5
5/23/14 4:45:00 AM,C,24.5
5/23/14 6:45:00 AM,C,24.5
5/23/14 8:45:00 AM,C,24.5
5/23/14 10:45:00 AM,C,25
5/23/14 12:45:00 PM,C,25
5/23/14 2:45:00 PM,C,25
5/23/14 4:45:00 PM,C,25
5/23/14 6:45:00 PM,C,25
5/23/14 8:45:00 PM,C,25
5/23/14 10:45:00 PM,C,25
5/24/14 12:45:00 AM,C,25.5
5/24/14 2:45:00 AM,C,25.5
5/24/14 4:45:00 AM,C,25.5
5/24/14 6:45:00 AM,C,25.5
5/24/14 8:45:00 AM,C,25.5
5/24/14 10:45:00 AM,C,25.5
5/24/14 12:45:00 PM,C,25.5
5/24/14 2:45:00 PM,C,25.5
5/24/14 4:45:00 PM,C,25.5
5/24/14 6:45:00 PM,C,25
5/24/14 8:45:00 PM,C,25
5/24/14 10:45:00 PM,C,25.5
5/25/14 12:45:00 AM,C,25.5
5/25/14 2:45:00 AM,C,25.5
5/25/14 4:45:00 AM,C,25.5
5/25/14 6:45:00 AM,C,25.5
5/25/14 8:45:00 AM,C,25.5
5/25/14 10:45:00 AM,C,25.5
5/25/14 12:45:00 PM,C,25.5
5/25/14 2:45:00 PM,C,25.5
5/25/14 4:45:00 PM,C,25
5/25/14 6:45:00 PM,C,25
5/25/14 8:45:00 PM,C,25.5
5/25/14 10:45:00 PM,C,25
5/26/14 12:45:00 AM,C,24.5
5/26/14 2:45:00 AM,C,24.5
5/26/14 4:45:00 AM,C,24.5
5/26/14 6:45:00 AM,C,24
5/26/14 8:45:00 AM,C,24
5/26/14 10:45:00 AM,C,24
5/26/14 12:45:00 PM,C,24.5
5/26/14 2:45:00 PM,C,24.5
5/26/14 4:45:00 PM,C,24.5
5/26/14 6:45:00 PM,C,24.5
5/26/14 8:45:00 PM,C,25
5/26/14 10:45:00 PM,C,25
5/27/14 12:45:00 AM,C,25
5/27/14 2:45:00 AM,C,25
5/27/14 4:45:00 AM,C,24.5
5/27/14 6:45:00 AM,C,24.5
5/27/14 8:45:00 AM,C,24.5
5/27/14 10:45:00 AM,C,24
5/27/14 12:45:00 PM,C,24
5/27/14 2:45:00 PM,C,24
5/27/14 4:45:00 PM,C,24
5/27/14 6:45:00 PM,C,24
5/27/14 8:45:00 PM,C,23.5
