1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EB000000345F0721
Is Mission Active?  true
Mission Start:  Fri May 02 19:28:00 CDT 2014
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  2721
Total Samples:  3419
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/27/14 9:28:00 PM,C,17.5
6/27/14 11:28:00 PM,C,17.5
6/28/14 1:28:00 AM,C,17.5
6/28/14 3:28:00 AM,C,17.5
6/28/14 5:28:00 AM,C,17.5
6/28/14 7:28:00 AM,C,17.5
6/28/14 9:28:00 AM,C,17.5
6/28/14 11:28:00 AM,C,17.5
6/28/14 1:28:00 PM,C,17.5
6/28/14 3:28:00 PM,C,17.5
6/28/14 5:28:00 PM,C,17.5
6/28/14 7:28:00 PM,C,17.5
6/28/14 9:28:00 PM,C,17.5
6/28/14 11:28:00 PM,C,17.5
6/29/14 1:28:00 AM,C,17.5
6/29/14 3:28:00 AM,C,17.5
6/29/14 5:28:00 AM,C,17.5
6/29/14 7:28:00 AM,C,17.5
6/29/14 9:28:00 AM,C,17.5
6/29/14 11:28:00 AM,C,17.5
6/29/14 1:28:00 PM,C,17.5
6/29/14 3:28:00 PM,C,17.5
6/29/14 5:28:00 PM,C,17.5
6/29/14 7:28:00 PM,C,17.5
6/29/14 9:28:00 PM,C,17.5
6/29/14 11:28:00 PM,C,17.5
6/30/14 1:28:00 AM,C,17.5
6/30/14 3:28:00 AM,C,17.5
6/30/14 5:28:00 AM,C,17.5
6/30/14 7:28:00 AM,C,17.5
6/30/14 9:28:00 AM,C,17.5
6/30/14 11:28:00 AM,C,17.5
6/30/14 1:28:00 PM,C,17.5
6/30/14 3:28:00 PM,C,17.5
6/30/14 5:28:00 PM,C,17.5
6/30/14 7:28:00 PM,C,17.5
6/30/14 9:28:00 PM,C,17.5
6/30/14 11:28:00 PM,C,17.5
7/1/14 1:28:00 AM,C,17.5
7/1/14 3:28:00 AM,C,17.5
7/1/14 5:28:00 AM,C,17.5
7/1/14 7:28:00 AM,C,17.5
7/1/14 9:28:00 AM,C,17.5
7/1/14 11:28:00 AM,C,17.5
7/1/14 1:28:00 PM,C,17.5
7/1/14 3:28:00 PM,C,17.5
7/1/14 5:28:00 PM,C,17.5
7/1/14 7:28:00 PM,C,17.5
7/1/14 9:28:00 PM,C,17.5
7/1/14 11:28:00 PM,C,17.5
7/2/14 1:28:00 AM,C,17.5
7/2/14 3:28:00 AM,C,17.5
7/2/14 5:28:00 AM,C,17.5
7/2/14 7:28:00 AM,C,17.5
7/2/14 9:28:00 AM,C,17.5
7/2/14 11:28:00 AM,C,17.5
7/2/14 1:28:00 PM,C,17.5
7/2/14 3:28:00 PM,C,17.5
7/2/14 5:28:00 PM,C,17.5
7/2/14 7:28:00 PM,C,17.5
7/2/14 9:28:00 PM,C,17.5
7/2/14 11:28:00 PM,C,17.5
7/3/14 1:28:00 AM,C,17.5
7/3/14 3:28:00 AM,C,17.5
7/3/14 5:28:00 AM,C,17.5
7/3/14 7:28:00 AM,C,17.5
7/3/14 9:28:00 AM,C,17.5
7/3/14 11:28:00 AM,C,17.5
7/3/14 1:28:00 PM,C,17.5
7/3/14 3:28:00 PM,C,17.5
7/3/14 5:28:00 PM,C,17.5
7/3/14 7:28:00 PM,C,17.5
7/3/14 9:28:00 PM,C,17.5
7/3/14 11:28:00 PM,C,17.5
7/4/14 1:28:00 AM,C,17.5
7/4/14 3:28:00 AM,C,17.5
7/4/14 5:28:00 AM,C,17.5
7/4/14 7:28:00 AM,C,17.5
7/4/14 9:28:00 AM,C,17.5
7/4/14 11:28:00 AM,C,17.5
7/4/14 1:28:00 PM,C,17.5
7/4/14 3:28:00 PM,C,17.5
7/4/14 5:28:00 PM,C,17.5
7/4/14 7:28:00 PM,C,17.5
7/4/14 9:28:00 PM,C,17.5
7/4/14 11:28:00 PM,C,17.5
7/5/14 1:28:00 AM,C,17.5
7/5/14 3:28:00 AM,C,17.5
7/5/14 5:28:00 AM,C,17.5
7/5/14 7:28:00 AM,C,17.5
7/5/14 9:28:00 AM,C,18
7/5/14 11:28:00 AM,C,18
7/5/14 1:28:00 PM,C,18
7/5/14 3:28:00 PM,C,18
7/5/14 5:28:00 PM,C,18
7/5/14 7:28:00 PM,C,18
7/5/14 9:28:00 PM,C,18
7/5/14 11:28:00 PM,C,17.5
7/6/14 1:28:00 AM,C,17.5
7/6/14 3:28:00 AM,C,17.5
7/6/14 5:28:00 AM,C,17.5
7/6/14 7:28:00 AM,C,17.5
7/6/14 9:28:00 AM,C,18
7/6/14 11:28:00 AM,C,18
7/6/14 1:28:00 PM,C,18
7/6/14 3:28:00 PM,C,18
7/6/14 5:28:00 PM,C,18
7/6/14 7:28:00 PM,C,18
7/6/14 9:28:00 PM,C,18
7/6/14 11:28:00 PM,C,18
7/7/14 1:28:00 AM,C,18
7/7/14 3:28:00 AM,C,18
7/7/14 5:28:00 AM,C,18
7/7/14 7:28:00 AM,C,18
7/7/14 9:28:00 AM,C,18
7/7/14 11:28:00 AM,C,18
